GEOID,NAME,label,top1,top2,top3,pop,pct_nhpi,pct_tot,metro
06075023103,"Census Tract 231.03, San Francisco County, California",Samoan,324,100%,12%,324,1,0.12,21
06037570701,"Census Tract 5707.01, Los Angeles County, California",Samoan,319,100%,5%,319,1,0.05,11
06081604101,"Census Tract 6041.01, San Mateo County, California",Native Hawaiian,317,68%,4%,317,0.68,0.04,21
15003007702,"Census Tract 77.02, Honolulu County, Hawaii",Samoan,315,70%,6%,315,0.7,0.06,25
15009031102,"Census Tract 311.02, Maui County, Hawaii",Native Hawaiian,315,86%,5%,315,0.86,0.05,9
06081611800,"Census Tract 6118, San Mateo County, California",Tongan,313,47%,7%,313,0.47,0.07,21
15003008006,"Census Tract 80.06, Honolulu County, Hawaii",Native Hawaiian,313,90%,7%,313,0.9,0.07,25
15003004600,"Census Tract 46, Honolulu County, Hawaii",Native Hawaiian,310,93%,8%,310,0.93,0.08,25
49035100306,"Census Tract 1003.06, Salt Lake County, Utah",Tongan,310,52%,6%,310,0.52,0.06,19
06037602403,"Census Tract 6024.03, Los Angeles County, California",Tongan,304,81%,6%,304,0.81,0.06,11
06067006500,"Census Tract 65, Sacramento County, California",Fijian,304,64%,4%,304,0.64,0.04,18
15003003406,"Census Tract 34.06, Honolulu County, Hawaii",Native Hawaiian,304,35%,5%,304,0.35,0.05,25
15003006302,"Census Tract 63.02, Honolulu County, Hawaii",Samoan,303,27%,10%,303,0.27,0.1,25
06037570501,"Census Tract 5705.01, Los Angeles County, California",Tongan,302,84%,4%,302,0.84,0.04,11
53053073113,"Census Tract 731.13, Pierce County, Washington",Samoan,302,100%,4%,302,1,0.04,23
15003010306,"Census Tract 103.06, Honolulu County, Hawaii",Native Hawaiian,300,77%,5%,300,0.77,0.05,25
48251130303,"Census Tract 1303.03, Johnson County, Texas",Native Hawaiian,298,70%,7%,298,0.7,0.07,4
06037544001,"Census Tract 5440.01, Los Angeles County, California",Tongan,297,66%,6%,297,0.66,0.06,11
15003004100,"Census Tract 41, Honolulu County, Hawaii",Native Hawaiian,297,37%,7%,297,0.37,0.07,25
15003010602,"Census Tract 106.02, Honolulu County, Hawaii",Native Hawaiian,296,82%,5%,296,0.82,0.05,25
49049000802,"Census Tract 8.02, Utah County, Utah",Tongan,295,100%,5%,295,1,0.05,16
