GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19
Id,Id2,Geography,Total:,Asian Indian,Bangladeshi,Cambodian,"Chinese, except Taiwanese",Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese,Other Asian,"Other Asian, not specified"
1400000US06001406201,06001406201,"Census Tract 4062.01, Alameda County, California",1446,25,0,188,596,61,0,2,7,4,281,0,0,0,0,1,253,0,28
1400000US06001406202,06001406202,"Census Tract 4062.02, Alameda County, California",688,9,0,36,207,234,0,0,7,0,48,0,0,0,1,1,144,0,1
1400000US06001406300,06001406300,"Census Tract 4063, Alameda County, California",1167,43,0,75,439,149,0,0,9,4,195,0,0,0,0,5,200,2,46
1400000US06001406400,06001406400,"Census Tract 4064, Alameda County, California",511,5,0,16,229,116,0,0,9,5,48,1,0,0,0,3,78,1,0
1400000US06001406500,06001406500,"Census Tract 4065, Alameda County, California",1384,14,0,47,630,223,0,1,5,19,174,0,0,0,0,8,244,0,19
1400000US06001406600,06001406600,"Census Tract 4066, Alameda County, California",2317,34,0,70,1314,369,0,3,26,37,99,0,0,0,0,3,339,5,18
1400000US06001406700,06001406700,"Census Tract 4067, Alameda County, California",1098,15,0,7,807,103,0,13,74,27,0,3,0,0,0,2,46,0,1
1400000US06001406800,06001406800,"Census Tract 4068, Alameda County, California",1107,17,0,10,863,40,0,0,64,18,9,0,4,0,0,0,82,0,0
1400000US06001406900,06001406900,"Census Tract 4069, Alameda County, California",789,8,0,4,560,61,0,0,44,13,0,0,0,0,0,0,97,0,2
1400000US06001407000,06001407000,"Census Tract 4070, Alameda County, California",1877,18,0,45,944,277,2,2,12,27,156,0,4,0,0,4,367,6,13
1400000US06001407100,06001407100,"Census Tract 4071, Alameda County, California",1412,12,0,74,550,209,0,1,10,19,223,0,0,0,0,8,272,1,33
1400000US06001407200,06001407200,"Census Tract 4072, Alameda County, California",762,21,0,97,284,158,0,6,5,7,37,0,0,0,0,0,146,0,1
1400000US06001407300,06001407300,"Census Tract 4073, Alameda County, California",175,4,0,60,45,24,0,0,6,1,0,0,0,0,0,0,35,0,0
1400000US06001407400,06001407400,"Census Tract 4074, Alameda County, California",414,6,0,69,65,63,0,3,7,2,46,0,0,0,0,0,148,0,5
1400000US06001407500,06001407500,"Census Tract 4075, Alameda County, California",311,9,0,62,65,35,0,0,4,6,44,0,0,0,0,0,84,0,2
1400000US06001407600,06001407600,"Census Tract 4076, Alameda County, California",700,11,0,36,204,158,0,0,10,6,92,0,1,0,0,7,164,0,11
1400000US06001407700,06001407700,"Census Tract 4077, Alameda County, California",187,3,0,12,82,50,0,0,13,3,0,0,0,0,0,0,21,0,3
1400000US06001407800,06001407800,"Census Tract 4078, Alameda County, California",193,4,0,8,73,46,0,1,12,12,1,0,0,1,1,8,23,0,3
1400000US06001407900,06001407900,"Census Tract 4079, Alameda County, California",454,9,0,0,315,51,0,0,31,24,1,0,0,0,0,0,22,0,1
1400000US06001408000,06001408000,"Census Tract 4080, Alameda County, California",404,15,0,2,251,27,1,0,46,42,0,1,2,0,0,5,11,0,1
1400000US06001408100,06001408100,"Census Tract 4081, Alameda County, California",1032,67,0,2,678,84,0,2,77,63,3,0,0,0,7,0,44,0,5
1400000US06001408200,06001408200,"Census Tract 4082, Alameda County, California",164,13,1,5,46,44,0,1,8,10,0,0,0,0,0,1,35,0,0
1400000US06001408300,06001408300,"Census Tract 4083, Alameda County, California",201,10,0,10,62,41,0,0,17,13,24,0,0,2,0,0,22,0,0
1400000US06001408400,06001408400,"Census Tract 4084, Alameda County, California",81,2,0,7,31,8,0,0,1,0,0,0,0,0,0,0,30,0,2
1400000US06001408500,06001408500,"Census Tract 4085, Alameda County, California",111,13,0,9,9,43,0,0,2,0,4,0,0,0,0,0,29,0,2
1400000US06001408600,06001408600,"Census Tract 4086, Alameda County, California",121,0,0,15,21,12,0,0,2,0,0,0,0,0,0,2,63,0,6
1400000US06001408700,06001408700,"Census Tract 4087, Alameda County, California",246,11,0,8,34,66,0,0,8,13,4,0,0,0,0,5,94,0,3
1400000US06001408800,06001408800,"Census Tract 4088, Alameda County, California",568,12,0,178,10,45,0,0,2,2,33,0,0,0,0,0,280,0,6
1400000US06001408900,06001408900,"Census Tract 4089, Alameda County, California",62,2,0,1,8,35,0,0,2,0,0,0,0,0,0,0,14,0,0
1400000US06001409000,06001409000,"Census Tract 4090, Alameda County, California",64,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,37,0,2
1400000US06001409100,06001409100,"Census Tract 4091, Alameda County, California",38,1,0,6,5,25,0,0,0,1,0,0,0,0,0,0,0,0,0
1400000US06001409200,06001409200,"Census Tract 4092, Alameda County, California",125,24,0,3,1,6,0,0,6,0,0,0,0,0,0,10,73,0,2
1400000US06001409300,06001409300,"Census Tract 4093, Alameda County, California",146,0,0,22,28,56,0,1,4,1,0,0,0,0,0,1,33,0,0
1400000US06001409400,06001409400,"Census Tract 4094, Alameda County, California",52,0,0,0,2,21,0,0,3,0,1,0,0,0,0,0,21,0,4
1400000US06001409500,06001409500,"Census Tract 4095, Alameda County, California",150,10,0,59,3,9,0,0,0,0,9,0,0,0,0,0,57,0,3
1400000US06001409600,06001409600,"Census Tract 4096, Alameda County, California",141,3,0,18,13,39,0,0,1,2,22,0,0,1,0,0,41,0,1
1400000US06001409700,06001409700,"Census Tract 4097, Alameda County, California",153,3,0,39,10,32,0,0,4,1,0,0,0,0,0,0,42,0,22
1400000US06001409800,06001409800,"Census Tract 4098, Alameda County, California",75,4,0,5,27,24,0,0,12,2,0,0,0,1,0,0,0,0,0
1400000US06001409900,06001409900,"Census Tract 4099, Alameda County, California",170,13,0,6,70,30,0,0,31,7,0,0,0,0,0,1,10,0,2
1400000US06001410000,06001410000,"Census Tract 4100, Alameda County, California",153,21,0,0,83,22,0,1,15,1,0,0,0,0,0,0,7,0,3
1400000US06001410100,06001410100,"Census Tract 4101, Alameda County, California",95,1,0,13,27,20,0,0,8,3,9,0,0,0,0,4,7,0,3
1400000US06001410200,06001410200,"Census Tract 4102, Alameda County, California",129,6,0,4,34,72,0,0,2,0,2,0,0,0,1,0,2,0,6
1400000US06001410300,06001410300,"Census Tract 4103, Alameda County, California",111,1,0,14,32,42,0,0,2,1,4,0,0,0,0,0,15,0,0
1400000US06001410400,06001410400,"Census Tract 4104, Alameda County, California",95,13,0,5,12,45,0,0,2,3,0,0,0,0,0,0,12,0,3
1400000US06001420100,06001420100,"Census Tract 4201, Alameda County, California",404,38,0,1,194,19,0,1,71,39,1,0,3,3,21,2,9,1,1
1400000US06001420200,06001420200,"Census Tract 4202, Alameda County, California",617,35,0,0,353,32,0,2,82,68,2,0,0,3,12,3,9,10,6
1400000US06001420300,06001420300,"Census Tract 4203, Alameda County, California",1373,94,4,6,789,82,0,4,151,152,0,1,9,6,33,15,23,1,3
1400000US06001420400,06001420400,"Census Tract 4204, Alameda County, California",814,39,3,0,362,7,0,3,48,329,0,0,0,1,7,0,13,0,2
1400000US06001420500,06001420500,"Census Tract 4205, Alameda County, California",433,24,0,5,240,21,0,0,43,59,2,0,0,0,4,4,19,0,12
1400000US06001420600,06001420600,"Census Tract 4206, Alameda County, California",391,22,0,0,202,17,0,1,106,25,0,0,1,0,4,1,2,1,9
1400000US06001421100,06001421100,"Census Tract 4211, Alameda County, California",182,26,0,0,83,7,0,0,49,13,0,0,1,0,1,0,1,0,1
1400000US06001421200,06001421200,"Census Tract 4212, Alameda County, California",262,32,0,0,122,14,0,0,78,6,1,0,2,0,0,3,4,0,0
1400000US06001421300,06001421300,"Census Tract 4213, Alameda County, California",373,20,0,1,173,20,2,0,129,11,0,0,0,1,6,1,8,0,1
1400000US06001421400,06001421400,"Census Tract 4214, Alameda County, California",156,12,0,0,87,5,0,0,40,6,0,0,0,0,3,0,1,0,2
1400000US06001421500,06001421500,"Census Tract 4215, Alameda County, California",255,32,0,0,122,11,0,1,51,18,0,1,0,0,2,4,6,1,6
1400000US06001421600,06001421600,"Census Tract 4216, Alameda County, California",334,29,0,2,179,14,0,1,70,25,0,0,2,0,4,0,3,1,4
1400000US06001421700,06001421700,"Census Tract 4217, Alameda County, California",450,44,0,0,241,22,0,4,60,35,2,5,2,0,11,5,11,1,7
1400000US06001421800,06001421800,"Census Tract 4218, Alameda County, California",222,12,1,0,105,8,0,3,75,8,0,0,0,0,5,2,2,0,1
1400000US06001421900,06001421900,"Census Tract 4219, Alameda County, California",541,22,0,0,215,64,0,0,162,16,7,1,10,0,4,0,26,4,10
1400000US06001422000,06001422000,"Census Tract 4220, Alameda County, California",163,9,0,0,85,11,0,0,18,23,0,0,1,0,6,0,8,0,2
1400000US06001422100,06001422100,"Census Tract 4221, Alameda County, California",248,26,0,1,54,74,0,0,31,7,1,1,0,0,2,2,45,2,2
1400000US06001422200,06001422200,"Census Tract 4222, Alameda County, California",484,55,1,1,161,33,0,0,123,27,5,0,7,0,4,30,35,0,2
1400000US06001422300,06001422300,"Census Tract 4223, Alameda County, California",648,54,1,0,358,37,0,1,114,43,3,0,1,3,7,13,10,1,2
1400000US06001422400,06001422400,"Census Tract 4224, Alameda County, California",990,126,0,1,493,54,0,1,101,113,1,0,7,0,35,11,40,0,7
1400000US06001422500,06001422500,"Census Tract 4225, Alameda County, California",841,88,0,2,426,47,1,2,78,91,2,0,2,1,34,6,51,7,3
1400000US06001422600,06001422600,"Census Tract 4226, Alameda County, California",264,33,0,2,126,21,0,4,23,26,0,1,1,1,14,2,8,1,1
1400000US06001422700,06001422700,"Census Tract 4227, Alameda County, California",879,114,0,2,424,31,1,0,105,122,1,0,7,1,23,7,18,2,21
1400000US06001422800,06001422800,"Census Tract 4228, Alameda County, California",2185,231,1,3,1090,124,3,1,106,362,5,1,17,2,77,20,134,2,6
1400000US06001422900,06001422900,"Census Tract 4229, Alameda County, California",821,129,0,5,348,45,2,2,74,88,0,0,9,2,28,20,59,1,9
1400000US06001423000,06001423000,"Census Tract 4230, Alameda County, California",766,65,0,0,367,85,0,2,125,49,0,0,1,2,10,7,37,1,15
1400000US06001423100,06001423100,"Census Tract 4231, Alameda County, California",396,42,0,9,117,63,0,1,69,15,11,0,22,0,0,8,35,0,4
1400000US06001423200,06001423200,"Census Tract 4232, Alameda County, California",216,33,0,1,60,22,0,0,22,7,0,0,11,0,2,5,52,0,1
1400000US06001423300,06001423300,"Census Tract 4233, Alameda County, California",187,6,0,7,58,33,0,0,36,10,3,0,1,0,1,5,23,0,4
1400000US06001423400,06001423400,"Census Tract 4234, Alameda County, California",433,33,3,2,139,45,3,1,77,48,0,0,17,2,2,10,48,2,1
1400000US06001423500,06001423500,"Census Tract 4235, Alameda County, California",425,26,0,5,137,42,0,1,129,31,11,1,5,1,11,12,9,0,4
1400000US06001423601,06001423601,"Census Tract 4236.01, Alameda County, California",370,42,0,3,132,38,0,0,54,69,0,0,1,0,12,1,15,2,1
1400000US06001423602,06001423602,"Census Tract 4236.02, Alameda County, California",1911,230,0,1,761,94,2,4,126,522,2,0,9,0,57,10,77,1,15
1400000US06001423700,06001423700,"Census Tract 4237, Alameda County, California",547,77,0,2,289,29,0,3,58,47,0,0,1,0,11,2,22,0,6
1400000US06001423800,06001423800,"Census Tract 4238, Alameda County, California",157,20,0,0,61,11,0,1,37,20,1,0,0,1,1,1,3,0,0
1400000US06001423901,06001423901,"Census Tract 4239.01, Alameda County, California",152,25,0,1,41,25,0,2,28,17,0,0,0,0,0,2,11,0,0
1400000US06001423902,06001423902,"Census Tract 4239.02, Alameda County, California",140,11,0,0,60,7,0,0,37,13,0,0,1,2,1,0,8,0,0
1400000US06001424001,06001424001,"Census Tract 4240.01, Alameda County, California",260,20,5,0,55,30,0,0,18,16,48,2,13,1,2,2,36,0,12
1400000US06001424002,06001424002,"Census Tract 4240.02, Alameda County, California",120,12,0,4,40,16,0,0,9,12,0,0,0,0,0,0,22,0,5
1400000US06001425100,06001425100,"Census Tract 4251, Alameda County, California",1731,401,0,8,658,153,0,10,153,194,1,2,7,0,61,26,43,3,11
1400000US06001426100,06001426100,"Census Tract 4261, Alameda County, California",906,41,0,0,649,32,0,0,88,47,0,0,11,0,10,1,17,0,10
1400000US06001426200,06001426200,"Census Tract 4262, Alameda County, California",802,26,0,0,574,23,0,1,57,92,2,0,0,0,9,1,16,0,1
1400000US06001427100,06001427100,"Census Tract 4271, Alameda County, California",367,18,0,8,164,77,1,0,49,23,0,0,0,0,0,2,21,2,2
1400000US06001427200,06001427200,"Census Tract 4272, Alameda County, California",1252,13,4,11,396,413,0,1,53,85,8,0,0,0,1,5,251,0,11
