NAMELSAD,top_metro_metroP,top_metro_asnP,top_metro_nhpiP,GEOID_2,NAMELSAD_2
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","34029",Ocean County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","34027",Morris County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","34013",Essex County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","36081",Queens County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","34003",Bergen County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","36047",Kings County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","36061",New York County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","34031",Passaic County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","36087",Rockland County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","34019",Hunterdon County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","42103",Pike County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","36005",Bronx County
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","6065644","349026","1977","34007",Camden County
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","6065644","349026","1977","24015",Cecil County
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","6065644","349026","1977","10003",New Castle County
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","6065644","349026","1977","42101",Philadelphia County
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","6065644","349026","1977","34005",Burlington County
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","6065644","349026","1977","42029",Chester County
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","6065644","349026","1977","34015",Gloucester County
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","6065644","349026","1977","42091",Montgomery County
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","6065644","349026","1977","42045",Delaware County
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","6065644","349026","1977","42017",Bucks County
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","6065644","349026","1977","34033",Salem County
"Phoenix-Mesa-Chandler, AZ Metro Area","4561038","171001","10322","04021",Pinal County
"Phoenix-Mesa-Chandler, AZ Metro Area","4561038","171001","10322","04013",Maricopa County
"Provo-Orem, UT Metro Area","6090196","605691","3714","49049",Utah County
"Provo-Orem, UT Metro Area","6090196","605691","3714","49023",Juab County
"Riverside-San Bernardino-Ontario, CA Metro Area","4476222","294863","13523","06071",San Bernardino County
"Riverside-San Bernardino-Ontario, CA Metro Area","4476222","294863","13523","06065",Riverside County
"Sacramento-Roseville-Folsom, CA Metro Area","2268005","292442","18137","06067",Sacramento County
"Sacramento-Roseville-Folsom, CA Metro Area","2268005","292442","18137","06061",Placer County
"Sacramento-Roseville-Folsom, CA Metro Area","2268005","292442","18137","06017",El Dorado County
"Sacramento-Roseville-Folsom, CA Metro Area","2268005","292442","18137","06113",Yolo County
"Salt Lake City, UT Metro Area","6090196","605691","3714","49035",Salt Lake County
"Salt Lake City, UT Metro Area","6090196","605691","3714","49045",Tooele County
"San Diego-Chula Vista-Carlsbad, CA Metro Area","3283665","384154","14182","06073",San Diego County
"San Francisco-Oakland-Berkeley, CA Metro Area","4641820","1172482","33709","06075",San Francisco County
"San Francisco-Oakland-Berkeley, CA Metro Area","4641820","1172482","33709","06041",Marin County
"San Francisco-Oakland-Berkeley, CA Metro Area","4641820","1172482","33709","06013",Contra Costa County
"San Francisco-Oakland-Berkeley, CA Metro Area","4641820","1172482","33709","06001",Alameda County
"San Francisco-Oakland-Berkeley, CA Metro Area","4641820","1172482","33709","06081",San Mateo County
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","1969897","673160","7562","06069",San Benito County
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","1969897","673160","7562","06085",Santa Clara County
"Seattle-Tacoma-Bellevue, WA Metro Area","3735216","479337","32653","53061",Snohomish County
"Seattle-Tacoma-Bellevue, WA Metro Area","3735216","479337","32653","53033",King County
"Seattle-Tacoma-Bellevue, WA Metro Area","3735216","479337","32653","53053",Pierce County
"Stockton, CA Metro Area","6090196","605691","3714","06077",San Joaquin County
"Urban Honolulu, HI Metro Area","990060","424558","92743","15003",Honolulu County
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","51179",Stafford County
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","51510",Alexandria city
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","51157",Rappahannock County
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","11001",District of Columbia
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","51610",Falls Church city
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","51113",Madison County
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","24009",Calvert County
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","51061",Fauquier County
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","24021",Frederick County
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","51600",Fairfax city
