GEOID,NAME,label,top1,top2,top3,pop,pct_asn,pct_tot,metro
17031010501,"Census Tract 105.01, Cook County, Illinois",Chinese,90,37%,2%,90,0.37,0.02,6
17031811200,"Census Tract 8112, Cook County, Illinois",Filipino,90,86%,2%,90,0.86,0.02,6
17031827300,"Census Tract 8273, Cook County, Illinois",Asian Indian,90,65%,3%,90,0.65,0.03,6
17043844002,"Census Tract 8440.02, DuPage County, Illinois",Asian Indian,90,100%,2%,90,1,0.02,6
17097864002,"Census Tract 8640.02, Lake County, Illinois",Asian Indian,90,48%,1%,90,0.48,0.01,6
18089042300,"Census Tract 423, Lake County, Indiana",Vietnamese,90,80%,1%,90,0.8,0.01,6
25009210400,"Census Tract 2104, Essex County, Massachusetts",Pakistani,90,61%,1%,90,0.61,0.01,2
25009216100,"Census Tract 2161, Essex County, Massachusetts",Korean,90,46%,2%,90,0.46,0.02,2
25017322100,"Census Tract 3221, Middlesex County, Massachusetts",Asian Indian,90,38%,2%,90,0.38,0.02,2
25021422600,"Census Tract 4226, Norfolk County, Massachusetts",Chinese,90,58%,1%,90,0.58,0.01,2
25025090600,"Census Tract 906, Suffolk County, Massachusetts",Asian Indian,90,64%,3%,90,0.64,0.03,2
27053021505,"Census Tract 215.05, Hennepin County, Minnesota",Hmong,90,57%,2%,90,0.57,0.02,12
36005016000,"Census Tract 160, Bronx County, New York",Chinese,90,69%,2%,90,0.69,0.02,13
36005041400,"Census Tract 414, Bronx County, New York",Asian Indian,90,57%,2%,90,0.57,0.02,13
36047055300,"Census Tract 553, Kings County, New York",Korean,90,28%,3%,90,0.28,0.03,13
36059411100,"Census Tract 4111, Nassau County, New York",Nepalese,90,68%,2%,90,0.68,0.02,13
36059412000,"Census Tract 4120, Nassau County, New York",Chinese,90,65%,2%,90,0.65,0.02,13
36061014801,"Census Tract 148.01, New York County, New York",Asian Indian,90,34%,3%,90,0.34,0.03,13
36061020600,"Census Tract 206, New York County, New York",Japanese,90,69%,2%,90,0.69,0.02,13
36061020901,"Census Tract 209.01, New York County, New York",Vietnamese,90,50%,3%,90,0.5,0.03,13
36081027600,"Census Tract 276, Queens County, New York",Asian Indian,90,93%,6%,90,0.93,0.06,13
36119009600,"Census Tract 96, Westchester County, New York",Chinese,90,40%,2%,90,0.4,0.02,13
53033006500,"Census Tract 65, King County, Washington",Chinese,90,28%,2%,90,0.28,0.02,23
53053061001,"Census Tract 610.01, Pierce County, Washington",Filipino,90,31%,2%,90,0.31,0.02,23
48113013300,"Census Tract 133, Dallas County, Texas",Asian Indian,90,46%,5%,90,0.46,0.05,4
48113016302,"Census Tract 163.02, Dallas County, Texas",Vietnamese,90,88%,4%,90,0.88,0.04,4
48201240901,"Census Tract 2409.01, Harris County, Texas",Filipino,90,66%,1%,90,0.66,0.01,8
48201330700,"Census Tract 3307, Harris County, Texas",Filipino,90,38%,1%,90,0.38,0.01,8
